text,label
"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
"Booklet updated on Dec. 9th , 2013 .",0
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/gxv2b33v37la6pz/Booklet % 20Description % 20Box % 20Info.txt,0
"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",1
God knows what would come out of Africa if only blacks could come up with investigative journalism .,1
"I'm insulted by how stupid the Jews think we are until I see what they see by reading the posts amongst our so-called , `` Awakened Brethren . ''",1
"We are trying to get people in every White nation around the world to distribute White Nationalist flyers on Saturday night , October 13th .",0
Does it surprise you that jews promote faggotry ?,1
"It 's another way to destroy Hungarians on top of promoting * * * * * * music , race mixing and pornography .",1
"I watch fights on gay parade in budapest together with my friends from hungary , we were together on vacation in one croatian island , it was great to watch how hungarian nationalists were smashing gay parade btw I have some hungarian blood , my grandmother was hungarian Kitartas !",1
i have been talking about it for years. the filthy muslims putting their sight on africa. in some ways they are worst then blacks .,1
We have a little piece of legislation called the Prohibition of Foreign Military Assistance Act This prohibits mercs from operating in South Africa. on pain of five years of hell in a kaffer jail .,1
You are welcome to grab on if you like !,0
"I know one thing , no white should ever give one nickel or a second thought to Africa for they have repaid good with evil .",1
I have no idea of how many might be here .,0
Only if they get their collective heads out of the punch bowl and wake up to what 's going on in the world .,0
Our brothers & sisters in SA must stand their ground because they have earned through the blood and sweat of their ancestors .,0
It is hard to say what is going to happen however one way or the other I think Whites in South Africa should get out of the country and try to make it to a safer location such as Canada or Australia .,0
Were Whites to leave in large numbers leaving few Whites behind in South Africa the country would start going down hill and then maybe more Whites would begin to see what losers Negros are and how they cannot even maintain what is given to them .,1
I'm looking to study at a college in South Africa later in my life .,0
Here's a site that compiles news articles of white crime and degeneracy .,0
"I also , unfortuantely , spent 7-8th grade in a 95 % monkey house .",1
"It wasnt really that dangerous perse , just stinky , and dumb , with the poor 5 % white kids the outcasts , which made some of them hooligans and crazy .",1
"I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .",1
"Went outside for recess , and noticed two niglet boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Niglet Number One , hauling him outside and pressed that panic button again .",1
"I like to listen to this preacher , but why do black prreachers always have to scream .",1
I think you should write a book as well .,0
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",0
I could n't imagine living in those conditions with drugs and filthy negros everywhere .,1
Here is the guy 's blog from the radio station he works at .,0
Is n't it interesting how genocide is a crime until it happens to Europeans ?,0
It 's why they do n't take real ones seriously .,0
"I feel so sorry for all you people living there , wish you could all move here hopefully you do n't suffer like your neighbours in zimbabwe .",1
It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .,1
But I love this song and video so I thought I d post it here since the topic is about him .,0
A has been from a genre called `` grunge rock '' AKA sheety music popular around 20 years ago I did n't like them then and now ... same consensus Pearl Jam - Jeremy - YouTube,0
My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,1
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
"Richard Anthony March 2 , 2014 A Storm is Brewing on the Horizon ?",0
As usual the magic negro opens his mouth and lies pour forth .,1
If lies were money he would be the richest negro in the world,1
Great image of the Jew as a poisonous mushroom .,1
The majority of the people in these photos are more of the threat to America than to the Ukraine in my opinion .,1
"well, the liberals would go ape crazy .",1
"And there 's no need for a video game , just pack concealed carry and walk around any major US city after dark .",0
It would be great if we could get every last white out of there so no one would be there to fix things .,1
Wow Is there some hope for the Negro race ?,0
It would be nice to see Negro leaders like that take charge and lead their people home .,0
"He is the kind of anti-white , that will whine about ' anti-White racism ' , instead of just calling them ' anti-White ' .",0
South Africa has returned to the Stone Age in 20 years .,1
State Sanctioned racist murder of white farmers in South Africa FULL SCREEN BEST www.youtube.com/watch ? v = SKG72AviEFw,0
They are culturally raping european countries in every way .,1
Liberal is just the PC word for Rapist .,1